iter	Passed	Remaining
606	5267	3410
607	5277	3402
608	5282	3391
609	5286	3379
610	5296	3372
611	5300	3360
612	5311	3353
613	5317	3343
614	5329	3336
615	5333	3324
616	5336	3312
617	5347	3305
618	5350	3293
619	5361	3285
620	5367	3275
621	5370	3263
622	5382	3257
623	5395	3251
624	5410	3246
625	5421	3239
626	5441	3237
627	5447	3227
628	5469	3226
629	5480	3218
630	5500	3216
631	5521	3214
632	5536	3209
633	5543	3200
634	5562	3197
635	5569	3187
636	5574	3176
637	5581	3166
638	5589	3157
639	5594	3146
640	5599	3136
641	5605	3125
642	5608	3114
643	5613	3103
644	5622	3094
645	5629	3085
646	5633	3073
647	5637	3062
648	5640	3050
649	5648	3041
650	5654	3031
651	5657	3019
652	5662	3008
653	5670	3000
654	5673	2988
655	5687	2982
656	5694	2972
657	5703	2964
658	5709	2954
659	5712	2942
660	5717	2932
661	5723	2922
662	5733	2914
663	5738	2903
664	5744	2893
665	5747	2882
666	5750	2871
667	5754	2859
668	5760	2850
669	5767	2840
670	5774	2831
671	5781	2822
672	5788	2812
673	5793	2802
674	5803	2794
675	5811	2785
676	5815	2774
677	5821	2765
678	5825	2753
679	5833	2745
680	5836	2734
681	5842	2724
682	5846	2713
683	5853	2704
684	5858	2693
685	5861	2683
686	5867	2673
687	5871	2662
688	5878	2653
689	5883	2643
690	5888	2633
691	5891	2622
692	5895	2611
693	5901	2602
694	5906	2592
695	5914	2583
696	5919	2573
697	5922	2562
698	5926	2551
699	5937	2544
700	5942	2534
701	5950	2526
702	5955	2516
703	5960	2506
704	5969	2497
705	5974	2487
706	5981	2478
707	5988	2469
708	5996	2461
709	6014	2456
710	6025	2449
711	6042	2443
712	6053	2436
713	6071	2431
714	6094	2429
715	6104	2421
716	6115	2413
717	6123	2404
718	6130	2395
719	6144	2389
720	6159	2383
721	6172	2376
722	6188	2370
723	6201	2363
724	6208	2354
725	6225	2349
726	6240	2343
727	6249	2334
728	6270	2330
729	6276	2321
730	6288	2314
731	6294	2304
732	6300	2295
733	6323	2291
734	6329	2281
735	6332	2271
736	6336	2261
737	6340	2250
738	6343	2240
739	6347	2230
740	6351	2219
741	6355	2209
742	6359	2199
743	6362	2189
744	6366	2179
745	6370	2169
746	6373	2158
747	6377	2148
748	6380	2138
749	6384	2128
750	6387	2117
751	6391	2107
752	6395	2097
753	6399	2087
754	6402	2077
755	6406	2067
756	6409	2057
757	6412	2047
758	6416	2037
759	6420	2027
760	6423	2017
761	6426	2007
762	6430	1997
763	6433	1987
764	6437	1977
765	6440	1967
766	6443	1957
767	6447	1947
768	6450	1937
769	6454	1927
770	6457	1918
771	6461	1908
772	6464	1898
773	6467	1888
774	6470	1878
775	6473	1868
776	6477	1858
777	6480	1849
778	6483	1839
779	6486	1829
780	6489	1819
781	6493	1810
782	6497	1800
783	6500	1790
784	6503	1781
785	6506	1771
786	6510	1762
787	6513	1752
788	6516	1742
789	6519	1733
790	6523	1723
791	6526	1714
792	6530	1704
793	6533	1695
794	6535	1685
795	6539	1676
796	6543	1666
797	6546	1657
798	6550	1647
799	6553	1638
800	6561	1630
801	6574	1623
802	6583	1615
803	6588	1606
804	6594	1597
805	6621	1593
806	6642	1588
807	6664	1583
808	6690	1579
809	6704	1572
810	6718	1565
811	6725	1557
812	6743	1551
813	6753	1543
814	6756	1533
815	6763	1525
816	6768	1516
817	6773	1507
818	6778	1498
819	6781	1488
820	6785	1479
821	6793	1471
822	6797	1461
823	6804	1453
824	6815	1445
825	6824	1437
826	6831	1429
827	6835	1419
828	6839	1410
829	6843	1401
830	6850	1393
831	6855	1384
832	6860	1375
833	6864	1366
834	6868	1357
835	6872	1348
836	6876	1339
837	6880	1330
838	6883	1320
839	6887	1311
840	6890	1302
841	6894	1293
842	6897	1284
843	6899	1275
844	6903	1266
845	6906	1257
846	6909	1248
847	6912	1239
848	6914	1229
849	6917	1220
850	6921	1211
851	6924	1202
852	6927	1193
853	6930	1184
854	6933	1175
855	6936	1166
856	6938	1157
857	6942	1148
858	6944	1139
859	6947	1131
860	6949	1121
861	6952	1113
862	6955	1104
863	6958	1095
864	6961	1086
865	6965	1077
866	6968	1068
867	6971	1060
868	6973	1051
869	6976	1042
870	6979	1033
871	6982	1025
872	6986	1016
873	6989	1007
874	6992	998
875	6995	990
876	6998	981
877	7001	972
878	7004	964
879	7007	955
880	7009	946
881	7012	938
882	7016	929
883	7019	921
884	7022	912
885	7025	903
886	7027	895
887	7030	886
888	7033	878
889	7036	869
890	7039	861
891	7042	852
892	7045	844
893	7049	835
894	7052	827
895	7055	818
896	7058	810
897	7061	802
898	7064	793
899	7067	785
900	7070	776
901	7073	768
902	7076	760
903	7080	751
904	7082	743
905	7085	735
906	7088	726
907	7091	718
908	7094	710
909	7097	701
910	7100	693
911	7102	685
912	7106	677
913	7108	668
914	7112	660
915	7115	652
916	7117	644
917	7120	636
918	7124	627
919	7127	619
920	7129	611
921	7132	603
922	7135	595
923	7138	587
924	7142	579
925	7144	570
926	7147	562
927	7150	554
928	7153	546
929	7155	538
930	7158	530
931	7161	522
932	7164	514
933	7167	506
934	7169	498
935	7172	490
936	7175	482
937	7178	474
938	7181	466
939	7184	458
940	7187	450
941	7189	442
942	7192	434
943	7195	426
944	7198	418
945	7201	411
946	7204	403
947	7207	395
948	7210	387
949	7213	379
950	7215	371
951	7218	363
952	7221	356
953	7224	348
954	7227	340
955	7230	332
956	7233	324
957	7236	317
958	7239	309
959	7243	301
960	7246	294
961	7249	286
962	7252	278
963	7256	270
964	7259	263
965	7263	255
966	7266	247
967	7269	240
968	7272	232
969	7275	225
970	7279	217
971	7281	209
972	7284	202
973	7287	194
974	7290	186
975	7292	179
976	7295	171
977	7298	164
978	7300	156
979	7303	149
980	7305	141
981	7307	133
982	7310	126
983	7313	118
984	7315	111
985	7317	103
986	7320	96
987	7323	88
988	7325	81
989	7327	74
990	7330	66
991	7332	59
992	7335	51
993	7337	44
994	7339	36
995	7342	29
996	7345	22
997	7347	14
998	7349	7
999	7351	0
4
998	7268	7
999	7271	0
